time,deviceName,temperature,humidity,pressure_hPa,battery_mV,rssi,snr
2025-09-26 13:13:39,NodoTest,27.58,69.5,1005.0,10.0,-65,14.0
2025-09-26 13:14:39,NodoTest,27.55,69.58,1005.0,10.0,-66,10.5
2025-09-26 13:15:39,NodoTest,27.62,68.71,1005.0,14.0,-65,13.8
2025-09-26 13:16:39,NodoTest,27.65,69.35,1005.0,10.0,-66,14.0
2025-09-26 13:17:39,NodoTest,27.65,69.34,1005.0,10.0,-65,13.8
2025-09-26 13:18:39,NodoTest,27.68,69.13,1005.0,10.0,-65,13.5
2025-09-26 13:19:40,NodoTest,27.71,69.41,1005.0,14.0,-65,14.3
2025-09-26 13:20:40,NodoTest,27.73,69.2,1005.0,14.0,-65,13.8
2025-09-26 13:21:40,NodoTest,27.72,68.75,1005.0,12.0,-65,13.8
2025-09-26 13:22:40,NodoTest,27.76,69.22,1005.0,10.0,-65,13.5
2025-09-26 13:23:40,NodoTest,27.74,68.12,1005.0,10.0,-66,13.5
2025-09-26 13:24:40,NodoTest,27.75,68.52,1005.0,16.0,-65,13.5
2025-09-26 13:25:41,NodoTest,27.77,69.85,1005.0,14.0,-66,10.3
2025-09-26 13:26:41,NodoTest,27.75,68.75,1005.0,14.0,-66,13.5
2025-09-26 13:27:41,NodoTest,27.78,68.64,1005.0,10.0,-67,14.0
2025-09-26 13:28:41,NodoTest,27.8,69.05,1005.0,16.0,-65,13.8
2025-09-26 13:29:41,NodoTest,27.78,67.89,1005.0,10.0,-66,13.5
2025-09-26 13:30:41,NodoTest,27.77,69.08,1005.0,12.0,-65,10.3
2025-09-26 13:31:42,NodoTest,27.77,68.73,1005.0,10.0,-65,14.0
2025-09-26 13:32:42,NodoTest,27.73,68.54,1005.0,10.0,-65,14.0
2025-09-26 13:33:42,NodoTest,27.72,69.14,1005.0,16.0,-66,14.0
2025-09-26 13:34:42,NodoTest,27.68,68.8,1005.0,14.0,-66,14.0
2025-09-26 13:35:42,NodoTest,27.71,68.36,1005.0,10.0,-66,13.8
2025-09-26 13:36:42,NodoTest,27.65,67.66,1005.0,10.0,-66,14.3
2025-09-26 13:37:43,NodoTest,27.66,69.06,1005.0,12.0,-66,14.5
2025-09-26 13:38:43,NodoTest,27.62,67.53,1005.0,10.0,-66,14.3
2025-09-26 13:39:43,NodoTest,27.64,67.63,1005.0,10.0,-66,10.8
2025-09-26 13:40:43,NodoTest,27.66,67.17,1005.0,10.0,-65,13.8
2025-09-26 13:41:43,NodoTest,27.7,67.98,1005.0,12.0,-65,14.0
2025-09-26 13:42:43,NodoTest,27.73,67.98,1005.0,12.0,-66,13.8
2025-09-26 13:43:44,NodoTest,27.71,68.52,1005.0,10.0,-65,14.0
2025-09-26 13:43:54,NodoAngel,43.4,23.99,1002.0,2.0,-25,14.3
2025-09-26 13:43:55,NodoAngel,43.34,23.73,1002.0,0.0,-27,13.5
2025-09-26 13:44:44,NodoTest,27.73,67.06,1005.0,10.0,-65,14.0
2025-09-26 13:44:56,NodoAngel,41.75,26.36,1002.0,6.0,-34,13.5
2025-09-26 13:45:44,NodoTest,27.76,66.91,1005.0,12.0,-66,14.3
2025-09-26 13:45:56,NodoAngel,40.12,27.69,1002.0,10.0,-41,14.3
2025-09-26 13:46:44,NodoTest,27.78,68.34,1005.0,14.0,-67,14.0
2025-09-26 13:46:56,NodoAngel,38.99,33.04,1002.0,8.0,-33,14.3
2025-09-26 13:47:44,NodoTest,27.79,67.96,1005.0,10.0,-66,14.0
2025-09-26 13:47:56,NodoAngel,37.93,28.65,1002.0,8.0,-40,14.0
2025-09-26 13:48:44,NodoTest,27.82,68.83,1005.0,10.0,-66,14.0
2025-09-26 13:48:56,NodoAngel,37.5,31.13,1002.0,10.0,-49,14.3
2025-09-26 13:49:45,NodoTest,27.82,69.31,1005.0,10.0,-67,9.8
2025-09-26 13:49:56,NodoAngel,36.83,32.71,1002.0,10.0,-41,11.5
2025-09-26 13:50:45,NodoTest,27.81,68.12,1005.0,12.0,-65,13.8
2025-09-26 13:50:57,NodoAngel,36.13,33.78,1002.0,10.0,-38,14.3
2025-09-26 13:51:45,NodoTest,27.82,66.53,1005.0,10.0,-66,14.3
2025-09-26 13:51:57,NodoAngel,35.41,34.65,1002.0,10.0,-39,14.3
2025-09-26 13:52:45,NodoTest,27.83,67.46,1005.0,10.0,-66,14.5
2025-09-26 13:52:57,NodoAngel,34.73,35.67,1002.0,10.0,-36,13.5
2025-09-26 13:53:45,NodoTest,27.82,67.88,1005.0,14.0,-66,14.0
